security_id,asset_name,yahoo_ticker,price_eur,price_asof,source
AIRLIQUIDE,Air Liquide SA,AI.PA,167.14,boursobank portfolio screenshot,Boursobank portfolio screenshot
AMUNDI_WORLD,Amundi MSCI World Swap UCITS ETF EUR Acc,CW8.PA,613.5266666666666,boursobank portfolio screenshot,Boursobank portfolio screenshot
AXA,AXA SA,CS.PA,37.92,boursobank portfolio screenshot,Boursobank portfolio screenshot
DASSAULT,Dassault Systèmes SE,DSY.PA,18.033333333333335,boursobank portfolio screenshot,Boursobank portfolio screenshot
EUROBIO,Eurobio Scientific SA,ALERS.PA,22.5,boursobank portfolio screenshot,Boursobank portfolio screenshot
EUTELSAT,Eutelsat Communications S.A.,ETL.PA,2.0900000000000003,boursobank portfolio screenshot,Boursobank portfolio screenshot
LVMH,LVMH Moët Hennessy Louis Vuitton,MC.PA,500.3,boursobank portfolio screenshot,Boursobank portfolio screenshot
ORANGE,Orange SA,ORA.PA,17.064666666666668,boursobank portfolio screenshot,Boursobank portfolio screenshot
OVH,OVH Groupe SA,OVH.PA,8.7,boursobank portfolio screenshot,Boursobank portfolio screenshot
SANOFI,Sanofi SA,SAN.PA,76.25,boursobank portfolio screenshot,Boursobank portfolio screenshot
STM,STMicroelectronics N.V.,STM,29.145,boursobank portfolio screenshot,Boursobank portfolio screenshot
VALBIOTIS,Valbiotis S.A.,FR0013254851.SG,1.048,boursobank portfolio screenshot,Boursobank portfolio screenshot
VOLTALIA,Voltalia SA,VLTSA.PA,6.95,boursobank portfolio screenshot,Boursobank portfolio screenshot
